affiliationid,,email,match_score,,Rank,name,univer_ins,decision,result
haos.mta.hu,,mta.hu,0.685319377,,329,Hungarian Academy of Sciences,Southwestern University of Finance and Economics,,
ksu.ksu.edu,,ksu.edu,0.794505495,,177,Kansas State University,Arizona State University,,
uok.ku.edu,,ku.edu,0.805555556,,388,University of Kansas,University of Kent,,
kul.kuleuven.be,,kuleuven.be,0.830687831,,76,"Katholieke Universiteit, Leuven",KU Leuven,,
kgu.kwansei.ac.jp,,kwansei.ac.jp,0.696825397,,522,Kwansei Gakuin University,Waseda University,,
lu.lancaster.ac.uk,,lancaster.ac.uk,1,,298,Lancaster University,Lancaster University,TRUE,298
lbnl.lbl.gov,,lbl.gov,0.697640498,,386,Lawrence Berkeley National Laboratory,Central Bank of Ireland,,
uol.le.ac.uk,,le.ac.uk,0.880519481,,535,University of Leicester,University of Leeds,,
lu.lehigh.edu,,lehigh.edu,0.714285714,,465,Lehigh University,Peking University,,
uol.liv.ac.uk,,liv.ac.uk,1,,506,University of Liverpool,University of Liverpool,TRUE,506
pdu.univ-paris-diderot.fr,,univ-paris-diderot.fr,0.685714286,,20,Paris Diderot University,Princeton University,,
lu.ln.edu.hk,,ln.edu.hk,0.726851852,,310,Lingnan University,Tsinghua University,,
lbs.london.edu,,london.edu,1,,108,London Business School,London Business School,TRUE,108
uol.louisville.edu,,louisville.edu,0.696759259,,371,University of Louisville,Williams College,,
lsoe.lse.ac.uk,,lse.ac.uk,0.858080808,,108,London School of Economics,London Business School,,1
lsu.lsu.edu,,lsu.edu,0.785714286,,177,Louisiana State University,Arizona State University,,
luc.luc.edu,,luc.edu,0.718518519,,9,Loyola University Chicago,University of Chicago,,
lgc.luiss.it,,luiss.it,0.673529412,,539,LUISS Guido Carli,University of Missouri,,
mu.maastrichtuniversity.nl,,maastrichtuniversity.nl,1,,193,Maastricht University,Maastricht University,TRUE,193
mu.mahidol.ac.th,,mahidol.ac.th,0.69047619,,17,Mahidol University,Monash University,,
jnu.jnu.ac.in,,jnu.ac.in,0.612200436,,460,Jawaharlal Nehru University,Florida Atlantic University,,
suofae.shufe.edu.cn,,shufe.edu.cn,1,,536,Shanghai University of Finance and Economics,Shanghai University of Finance and Economics,TRUE,536
uobc.ubc.ca,,ubc.ca,1,,87,University of British Columbia,University of British Columbia,TRUE,87
uosatoc.ustc.edu.cn,,ustc.edu.cn,0.724301075,,346,University of Science and Technology of China,Central University of Finance and Economics,,
wvu.wvu.edu,,wvu.edu,1,,458,West Virginia University,West Virginia University,TRUE,458
uom.manchester.ac.uk,,manchester.ac.uk,1,,302,University of Manchester,University of Manchester,TRUE,302
mu.massey.ac.nz,,massey.ac.nz,0.780952381,,449,Massey University,McMaster University,,
mu.mcmaster.ca,,mcmaster.ca,1,,449,McMaster University,McMaster University,TRUE,449
uom.unimelb.edu.au,,unimelb.edu.au,1,,117,University of Melbourne,University of Melbourne,TRUE,117
mu.mcgill.ca,,mcgill.ca,1,,326,McGill University,McGill University,TRUE,326
muoo.miamioh.edu,,miamioh.edu,0.718253968,,504,Miami University of Ohio,University of Miami,,
mc.microsoft.com,,microsoft.com,0.687719298,,377,Microsoft Corporation,RMIT University,,
mc.middlebury.edu,,middlebury.edu,0.793625356,,126,Middlebury College,Imperial College,,
uom.missouri.edu,,missouri.edu,1,,539,University of Missouri,University of Missouri,TRUE,539
tmu.modares.ac.ir,,modares.ac.ir,0.733495671,,177,Tarbiat Modares University,Arizona State University,,
mu.monash.edu,,monash.edu,1,,17,Monash University,Monash University,TRUE,17
msu.montana.edu,,montana.edu,0.794444444,,17,Montana State University,Monash University,,
uosc.sc.edu,,sc.edu,0.917445055,,533,University of South Carolina,University of South Africa,,
uom.umn.edu,,umn.edu,1,,164,University of Minnesota,University of Minnesota,TRUE,164
mu.mq.edu.au,,mq.edu.au,1,,527,Macquarie University,Macquarie University,TRUE,527
msu.msstate.edu,,msstate.edu,0.682239057,,264,Mississippi State University,Ohio State University,,
mu.marquette.edu,,marquette.edu,0.801904762,,527,Marquette University,Macquarie University,,
muosc.musc.edu,,musc.edu,0.726190476,,484,Medical University of South Carolina,Auckland University of Technology,,
nthu.nthu.edu.tw,,nthu.edu.tw,0.890921053,,271,National Tsing Hua University,National University of Singapore,,
ncsu.ncsu.edu,,ncsu.edu,0.721001221,,177,North Carolina State University,Arizona State University,,
uond.nd.edu,,nd.edu,1,,69,University of Notre Dame,University of Notre Dame,TRUE,69
