,DOI,authorId,name,paperCount,citationCount,hIndex
5907,10.1257/aer.p20161010,48430228,Dan Silverman,55.0,2132.0,23.0
5908,10.1257/aer.p20161010,49095074,Till M. von Wachter,59.0,2950.0,20.0
5909,10.1257/aer.p20161011,4572668,A. Heyes,136.0,2682.0,29.0
5910,10.1257/aer.p20161011,1798259,J. List,446.0,39016.0,89.0
5911,10.1257/aer.p20161122,6723146,Maximilian Schmeiser,49.0,1004.0,16.0
5912,10.1257/aer.p20161122,39517660,Christiana Stoddard,29.0,568.0,14.0
5913,10.1257/aer.p20161122,73515987,Carly Urban,42.0,620.0,12.0
5914,10.1257/aer.p20161123,46543041,Cristina Borra,40.0,485.0,11.0
5915,10.1257/aer.p20161123,2287126,Libertad González,52.0,1832.0,19.0
5916,10.1257/aer.p20161123,39069653,A. Sevilla,1.0,18.0,1.0
5917,10.1257/aer.p20161124,47431226,Catherine D. Buffington,10.0,175.0,5.0
5918,10.1257/aer.p20161124,20814172,B. C. Harris,7.0,97.0,4.0
5919,10.1257/aer.p20161124,2115600330,Christina Jones,11.0,52.0,2.0
5920,10.1257/aer.p20161124,34963862,Bruce A. Weinberg,104.0,4895.0,35.0
5921,10.1257/aer.p20161125,3067430,Padmaja Ayyagari,54.0,943.0,16.0
5922,10.1257/aer.p20161125,6370719,Daifeng He,25.0,394.0,11.0
5923,10.1257/aer.p20161114,49005254,Rodney J. Andrews,26.0,452.0,10.0
5924,10.1257/aer.p20161115,9819772,Kalena E. Cortes,41.0,1293.0,17.0
